Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
l1_norm,l1_dist,1.184000849723816,Train,10,10.0,lunar-elevator-1196
l1_norm,l2_dist,2.772005796432495,Train,10,10.0,lunar-elevator-1196
l2_norm,l1_dist,0.7729043960571289,Train,10,10.0,lunar-elevator-1196
l2_norm,l2_dist,1.2453235387802124,Train,10,10.0,lunar-elevator-1196
linf_norm,l1_dist,0.48406410217285156,Train,10,10.0,lunar-elevator-1196
linf_norm,l2_dist,0.6791206002235413,Train,10,10.0,lunar-elevator-1196
l1_norm,l1_dist,1.4413212537765503,Valid,10,10.0,lunar-elevator-1196
l1_norm,l2_dist,2.0801191329956055,Valid,10,10.0,lunar-elevator-1196
l2_norm,l1_dist,0.916150689125061,Valid,10,10.0,lunar-elevator-1196
l2_norm,l2_dist,1.3289068937301636,Valid,10,10.0,lunar-elevator-1196
linf_norm,l1_dist,0.20252898335456848,Valid,10,10.0,lunar-elevator-1196
linf_norm,l2_dist,0.3010896146297455,Valid,10,10.0,lunar-elevator-1196
l1_norm,l1_dist,1.567819356918335,Train,10,10.0,bright-dragon-1197
l1_norm,l2_dist,5.457890510559082,Train,10,10.0,bright-dragon-1197
l2_norm,l1_dist,0.7810422778129578,Train,10,10.0,bright-dragon-1197
l2_norm,l2_dist,1.3375071287155151,Train,10,10.0,bright-dragon-1197
linf_norm,l1_dist,0.3526284098625183,Train,10,10.0,bright-dragon-1197
linf_norm,l2_dist,0.5075737237930298,Train,10,10.0,bright-dragon-1197
l1_norm,l1_dist,1.3764504194259644,Valid,10,10.0,bright-dragon-1197
l1_norm,l2_dist,1.9887583255767822,Valid,10,10.0,bright-dragon-1197
l2_norm,l1_dist,0.8740124106407166,Valid,10,10.0,bright-dragon-1197
l2_norm,l2_dist,1.2771037817001343,Valid,10,10.0,bright-dragon-1197
linf_norm,l1_dist,0.185105100274086,Valid,10,10.0,bright-dragon-1197
linf_norm,l2_dist,0.27599820494651794,Valid,10,10.0,bright-dragon-1197
l1_norm,l1_dist,1.2953213453292847,Train,10,-5.5,resilient-resonance-1198
l1_norm,l2_dist,3.3769145011901855,Train,10,-5.5,resilient-resonance-1198
l2_norm,l1_dist,0.7807856798171997,Train,10,-5.5,resilient-resonance-1198
l2_norm,l2_dist,1.2758979797363281,Train,10,-5.5,resilient-resonance-1198
linf_norm,l1_dist,0.4035412669181824,Train,10,-5.5,resilient-resonance-1198
linf_norm,l2_dist,0.5742809772491455,Train,10,-5.5,resilient-resonance-1198
l1_norm,l1_dist,1.4794100522994995,Valid,10,-5.5,resilient-resonance-1198
l1_norm,l2_dist,2.193472385406494,Valid,10,-5.5,resilient-resonance-1198
l2_norm,l1_dist,0.9693480730056763,Valid,10,-5.5,resilient-resonance-1198
l2_norm,l2_dist,1.4388500452041626,Valid,10,-5.5,resilient-resonance-1198
linf_norm,l1_dist,0.19644680619239807,Valid,10,-5.5,resilient-resonance-1198
linf_norm,l2_dist,0.2989996075630188,Valid,10,-5.5,resilient-resonance-1198
l1_norm,l1_dist,1.566962718963623,Train,10,10.0,sandy-disco-1199
